Slug,Nom,Catégorie,Exercice
rit-verifier-affaires-sport,Vérifier qu’on a ses affaires de sport la veille,Matériel scolaire,
rit-preparer-cartable-journee-speciale,"Préparer son cartable pour une journée spéciale (sortie, photo, piscine)",Matériel scolaire,
rit-mettre-devoirs-a-rendre,Mettre ses devoirs terminés dans la pochette “à rendre”,Matériel scolaire,
rit-ouvrir-volets-faire-lit,"Se lever, ouvrir les volets, faire son lit",Maison,
rit-shabiller-selon-meteo,S’habiller selon la météo (pull / manteau / chaussures adaptées),Maison,
rit-petit-dejeuner-debarrasser,Petit-déjeuner puis débarrasser la table,Maison,
rit-brosser-dents-ranger-brosse,"Se brosser les dents (temps, rinçage, rangement brosse)",Maison,
rit-verifier-sac-ecole,"Vérifier le sac d’école (agenda, trousse, cahier du jour)",Maison,
rit-preparer-gourde-collation,Préparer sa gourde et une collation (si autorisée),Maison,
rit-manteau-cles-au-revoir,"Mettre son manteau, prendre ses clés, dire au revoir",Maison,
rit-verifier-heure-partir,Vérifier l’heure et partir à temps,Maison,
rit-poser-affaires-bon-endroit,"Poser ses affaires au bon endroit (cartable, manteau, chaussures)",Maison,
rit-gouter-ranger,"Goûter puis ranger (vaisselle, table propre)",Maison,
rit-faire-devoirs-avec-pause,"Faire les devoirs (ordre des matières, pause, vérification)",Maison,
rit-preparer-vetements-demain,Préparer les vêtements du lendemain,Maison,
rit-douche-bain-ranger-linge,"Douche / bain (serviette, pyjama, linge sale)",Maison,
rit-preparer-coucher,"Préparer l’heure du coucher (brossage, histoire, lumière)",Maison,
rit-ranger-chambre-10-min,"Ranger la chambre 10 minutes (jeu, livres, vêtements)",Maison,
rit-ranger-table-repas,"Ranger la table après un repas (assiettes, couverts, miettes)",Maison,
rit-mettre-vaisselle-lave-vaisselle,"Mettre la vaisselle au lave-vaisselle (tri, placement, lancer)",Maison,
rit-mettre-linge-bon-panier,Mettre le linge sale au bon panier (couleurs / blancs),Maison,
rit-plier-vetements-ranger,Plier des vêtements et les ranger (tiroir / armoire),Maison,
rit-tour-maison-ranger-objets,"Faire un “tour de maison” (ramasser objets, remettre en place)",Maison,
rit-preparer-sac-sport,"Préparer son sac de sport (tenue, chaussures, serviette)",Maison,
rit-preparer-valise-weekend,"Préparer une valise pour un week-end (liste, vérifier, fermer)",Maison,
rit-classer-feuilles-importantes,Classer des feuilles importantes dans une pochette,Maison,
rit-faire-bol-cereales,"Se faire un bol de céréales (lait, quantité, ranger)",Maison,
rit-preparer-chocolat-chaud,"Préparer un chocolat chaud (chauffer, mélanger, prudence)",Maison,
rit-couper-banane-rondelles,"Couper une banane en rondelles (laver mains, couteau adapté, jeter épluchure)",Maison,
rit-preparer-salade-fruits,"Préparer une salade de fruits (choisir fruits, laver, couper, mélanger)",Maison,
rit-faire-carafe-eau-aromatisee,"Faire une carafe d’eau aromatisée (citron, menthe, repos)",Maison,
rit-mettre-table-nombre-personnes,"Mettre la table (nombre de personnes, assiettes, verres, couverts)",Maison,
rit-debarrasser-trier-dechets,Débarrasser et trier (recyclage / poubelle),Maison,
rit-lire-recette-preparer-ingredients,"Lire une recette et préparer les ingrédients (peser, compter, sortir)",Maison,
rit-laver-mains-correctement,"Se laver les mains correctement (savon, durée, rinçage)",Maison,
rit-mettre-pansement,"Mettre un pansement (nettoyer, sécher, poser)",Maison,
rit-preparer-trousse-secours,Préparer une petite trousse de secours pour une sortie,Maison,
rit-mettre-creme-solaire,"Mettre de la crème solaire (zones, renouveler)",Maison,
rit-mettre-casque-velo,Mettre un casque avant de faire du vélo / trottinette,Maison,
rit-traverser-rue-securite,"Traverser la rue (regarder, écouter, passage piéton)",Maison,
rit-appeler-adulte-probleme,"Appeler un adulte en cas de problème (où je suis, ce qui se passe)",Maison,
rit-verifier-date-peremption,Vérifier une date de péremption sur un aliment,Maison,
rit-preparer-titre-transport,Préparer son titre de transport avant de monter,Transports,
rit-monter-bus-correctement,"Monter dans le bus (laisser sortir, valider, s’asseoir)",Transports,
rit-descendre-bon-arret,"Descendre au bon arrêt (se lever avant, ne pas bousculer)",Transports,
rit-attendre-metro-ligne-securite,Attendre le métro / tram derrière la ligne de sécurité,Transports,
rit-mettre-ceinture-voiture,Mettre sa ceinture en voiture et vérifier que c’est attaché,Transports,
rit-attacher-velo-antivol,"Attacher un vélo (antivol, endroit autorisé)",Transports,
rit-preparer-itineraire-simple,"Préparer un itinéraire simple (départ, correspondance, arrivée)
",Transports,
rit-inscription-bibliotheque,"S’inscrire à la bibliothèque (carte, infos, règles)",Lieux publics - bibliothèque,
rit-chercher-livre-categorie,"Chercher un livre par catégorie (rayon, auteur, titre)",Lieux publics - bibliothèque,
rit-emprunter-livre,"Emprunter un livre (scanner, date de retour, ticket)",Lieux publics - bibliothèque,
rit-rendre-livre,Rendre un livre (boîte de retour / accueil),Lieux publics - bibliothèque,
rit-respecter-calme-bibliotheque,Respecter le calme et les zones de lecture,Lieux publics - bibliothèque,
rit-reparer-marque-page,"Réparer un marque-page, ne pas corner les pages",Lieux publics - bibliothèque,
rit-utiliser-borne-recherche,"Utiliser une borne de recherche (mot-clé, résultats, rayon)",Lieux publics - bibliothèque,
rit-choisir-activite-parc,"Choisir une activité au parc (balançoire, toboggan, ballon)",Lieux publics - parc,
rit-respecter-tour-jeu,Respecter un tour de passage sur un jeu,Lieux publics - parc,
rit-organiser-partie-ballon,"Organiser une partie de ballon (équipes, règles, durée)",Lieux publics - parc,
rit-ramasser-dechets-parc,Ramasser ses déchets avant de partir,Lieux publics - parc,
rit-retrouver-point-rendez-vous-heure,Retrouver le point de rendez-vous à l’heure donnée,Lieux publics - parc,
rit-preparer-sac-piscine,"Préparer son sac de piscine (maillot, serviette, bonnet, lunettes)",Lieux publics - piscine,
rit-douche-avant-bassin,Se doucher avant d’entrer dans le bassin,Lieux publics - piscine,
rit-ranger-affaires-casier,"Ranger ses affaires dans un casier (code, clé)",Lieux publics - piscine,
rit-respecter-consignes-piscine,"Respecter les consignes (ligne, sens, profondeur)",Lieux publics - piscine,
rit-secher-shabiller-ranger-sac,"Se sécher, s’habiller, ranger le sac en sortant",Lieux publics - piscine,
rit-presenter-billet-musee,Acheter / présenter un billet (ou invitation),Lieux publics - musée,
rit-suivre-parcours-salles,"Suivre un parcours (salle 1, 2, 3…)",Lieux publics - musée,
rit-lire-cartel-oeuvre,"Lire un cartel (titre, auteur, date)",Lieux publics - musée,
rit-ecouter-audioguide,"Écouter un audio-guide (pause, reprise, volume)",Lieux publics - musée,
rit-remplir-carnet-visite,"Remplir un petit carnet de visite (œuvre préférée, pourquoi)",Lieux publics - musée,
rit-respecter-regles-musee,"Respecter les règles (ne pas toucher, distance)",Lieux publics - musée,
rit-sechauffer-avant-activite,"S’échauffer avant une activité (articulations, souffle)",Loisirs - sport,
rit-preparer-parcours-sport,"Préparer un petit parcours (plots, départ, arrivée)",Loisirs - sport,
rit-defi-chrono,"Lancer un défi “chrono” (temps, essai 1/2/3, meilleur score)",Loisirs - sport,
rit-serie-exercices-hydratation,"Faire une série d’exercices (répétitions, pause, hydratation)",Loisirs - sport,
rit-ranger-materiel-sport,"Ranger le matériel de sport (ballons, chasubles, plots)",Loisirs - sport,
rit-organiser-mini-tournoi,"Organiser un mini-tournoi (équipes, matchs, score)",Loisirs - sport,
rit-preparer-sortie-velo,"Préparer une sortie vélo (casque, eau, itinéraire)",Loisirs - sport,
rit-installer-jeu-societe,"Installer un jeu de société (plateau, pions, cartes)",Loisirs,
rit-expliquer-regles-jeu,Expliquer des règles à un nouveau joueur,Loisirs,
rit-melanger-cartes-distribuer,Mélanger des cartes et distribuer à chacun,Loisirs,
rit-ranger-jeu-complet,"Ranger un jeu complet (vérifier pièces, boîte)",Loisirs,
rit-construire-puzzle,"Construire un puzzle (trier bords, couleurs, assembler)",Loisirs,
rit-organiser-chasse-tresor,"Organiser une chasse au trésor (indices, ordre, récompense)",Loisirs,
rit-preparer-seance-lego,"Préparer une séance LEGO (trier pièces, suivre étapes, ranger)",Loisirs,
rit-preparer-soiree-cinema,"Préparer une soirée cinéma (choisir film, popcorn, lumière)",Loisirs,
rit-tenir-carnet-lecture,"Tenir un carnet de lecture (pages, avis, nouveau mot)",Loisirs,
rit-ecrire-carte-anniversaire,"Écrire une carte d’anniversaire (texte, signature, enveloppe)",Loisirs,
rit-preparer-poste-dessin,"Préparer son poste de dessin (papier, crayons, taille-crayon)",Loisirs,
rit-proteger-table-peinture,"Protéger la table avant peinture (nappe, tablier)",Loisirs,
rit-nettoyer-pinceaux-ranger,Nettoyer les pinceaux et ranger les pots,Loisirs,
rit-decouper-coller-proprement,"Découper-coller proprement (ciseaux, colle, essuyage)",Loisirs,
rit-fabriquer-origami-simple,Fabriquer un origami simple en suivant un modèle,Loisirs,
rit-repeter-morceau-musique,"Répéter un morceau de musique (échauffement, passage difficile, reprise)",Loisirs,
rit-ranger-instrument,"Ranger un instrument (housse, endroit sûr)",Loisirs,
rit-preparer-exposition-maison,"Préparer une petite exposition à la maison (accrocher, étiqueter, présenter)",Loisirs,
rit-allumer-appareil-se-connecter,Allumer un ordinateur / tablette et se connecter,Numérique,
rit-ouvrir-appli-fermer-correctement,Ouvrir une application précise puis la fermer correctement,Numérique,
rit-creer-dossier-prenom,Créer un dossier avec son prénom puis y ranger des fichiers,Numérique,
rit-renommer-fichier-convention,Renommer un fichier avec une convention (date_nom),Numérique,
rit-telecharger-document-retrouver,Télécharger un document puis le retrouver,Numérique,
rit-envoyer-message-poli-ent,"Envoyer un message poli sur l’ENT (bonjour, objet, merci)",Numérique,
rit-joindre-fichier-message,Joindre un fichier à un message,Numérique,
rit-recherche-web-resultat-pertinent,Faire une recherche web et choisir un résultat pertinent,Numérique,
rit-verifier-info-deux-sites,Vérifier une information sur deux sites différents,Numérique,
rit-respecter-charte-numerique,"Respecter une charte numérique (mots de passe, données perso, temps d’écran)",Numérique,
rit-mettre-appareil-en-charge,Mettre un appareil en charge puis le ranger au bon endroit,Numérique,
rit-prendre-photo-classe,Prendre une photo de classe,,
rit-preparer-tartine,préparer une tartine,,
rit-distribuer-feuilles,Distribuer des feuilles,,
rit-robot-ranger-livre-rayon,Robot de bibliothèque qui dépose un livre au bon rayon,Objets programmables,
rit-robot-arroser-plante,Robot de serre qui rejoint la plante à arroser,Objets programmables,
rit-robot-livrer-colis-entrepot,Robot d’entrepôt qui rejoint une zone de livraison,Objets programmables,
rit-robot-nettoyeur-reservoir,Robot nettoyeur dont le programme modifie le réservoir,Objets programmables,
rit-robot-inspection-batterie,Robot d’inspection dont le programme modifie la batterie,Objets programmables,
rit-projecteur-luminosite,Projecteur programmable dont le programme règle la luminosité,Objets programmables,
rit-robot-rejoindre-recharge,Robot qui rejoint sa borne de recharge,Objets programmables,
rit-chariot-livrer-quai,Chariot programmé qui livre un colis au bon quai,Objets programmables,
rit-pont-levis-maquette,Pont-levis programmé d’une maquette de port,Objets programmables,
rit-robot-deposer-outil-etabli,Robot d’atelier qui dépose un outil sur le bon établi,Objets programmables,
rit-fontaine-doser-flacon,Fontaine programmable qui dose l’eau d’un flacon,Objets programmables,
rit-volet-serre-aerer-semis,Volet motorisé de serre qui aère des semis,Objets programmables,
rit-robot-trier-batterie-recyclage,Robot de recyclage qui dépose une batterie usagée,Objets programmables,
rit-lampe-liseuse-regler,Lampe programmable qui règle un éclairage de lecture,Objets programmables,
rit-convoyeur-remplir-caisse,Convoyeur programmable qui remplit une caisse de colis,Objets programmables,
rit-arrosage-potager-programmable,Système d’arrosage programmable pour un potager,Objets programmables,
rit-casier-retrait-programmable,Casier de retrait programmable qui range un badge,Objets programmables,
rit-scene-programmable-demarrer,Dispositif programmable qui prépare le début d’un spectacle,Objets programmables,
