Slug,Intitulé,Compétence,Hors-programme,Indicateur Acquis,Indicateur En cours d'Acquisition,Indicateur Non-Acquis,Niveau,Variables pédagogiques
att-identifier-erreurs-6e,"Repérer, parmi plusieurs programmes, ceux qui contiennent une erreur empêchant d’obtenir le résultat attendu.",cmp-identifier-erreurs,No,compare les comportements obtenus et justifie son choix à partir des exigences de la mission.,choisit une solution adaptée mais sa comparaison ou sa justification est incomplète.,choisit sans confronter les comportements à la mission demandée.,6eme,"Nombre de solutions à comparer, Support de critères"
att-corriger-tests-cm1,Choisir la modification qui permet à un programme simple d’obtenir le comportement attendu.,cmp-corriger-tests,No,choisit une modification qui permet d’obtenir le comportement attendu.,propose une modification proche de la solution mais qui nécessite un ajustement.,propose une modification sans effet utile sur la mission.,CM1,"Comportement à obtenir, Nature de la correction attendue"
att-corriger-tests-cm2,Classer des corrections proposées selon qu’elles permettent ou non d’obtenir le comportement attendu.,cmp-corriger-tests,No,modifie le programme de façon pertinente et confirme que l’objet accomplit la mission.,corrige en partie le programme ou vérifie imparfaitement le comportement obtenu.,la modification ne permet pas à l’objet d’accomplir la mission.,CM2,"Comportement à obtenir, Nature de la correction attendue"
att-corriger-tests-6e,Compléter un texte de correction pour modifier un programme et obtenir le comportement attendu.,cmp-corriger-tests,No,propose une modification cohérente et justifie son effet sur le comportement de l’objet.,améliore le comportement mais la justification de la modification reste incomplète.,propose une modification inefficace ou sans lien avec la mission.,6eme,"Comportement à obtenir, Nature de la correction attendue"
att-associer-representations-cm1,Choisir la représentation qui décrit exactement la même instruction simple.,cmp-associer-representations,No,repère l’action et son paramètre principal dans deux représentations.,repère l’action mais confond un paramètre ou une formulation proche.,associe des représentations qui ne décrivent pas la même action.,CM1,"Nombre de représentations à comparer, Proximité des distracteurs"
att-associer-representations-cm2,Associer chaque instruction d’une courte séquence à une représentation équivalente.,cmp-associer-representations,No,établit les correspondances ligne à ligne en conservant ordre et paramètres.,réussit la plupart des associations mais inverse ou simplifie une étape.,ne relie pas les étapes équivalentes entre les représentations.,CM2,"Nombre de représentations à comparer, Proximité des distracteurs"
att-associer-representations-6e,"Sélectionner les représentations qui conservent exactement le même sens, y compris avec une répétition simple.",cmp-associer-representations,No,"identifie les écarts de sens, d’ordre ou de paramètre et justifie l’équivalence.",repère l’équivalence globale mais laisse passer un écart local.,sélectionne des représentations non équivalentes sans repérer l’écart.,6eme,"Nombre de représentations à comparer, Proximité des distracteurs"
att-verifier-forme-representation-cm1,Classer des propositions selon qu’elles sont ou non des instructions bien formées dans la représentation donnée.,cmp-verifier-forme-representation,No,repère une instruction qui contient une action claire et le paramètre nécessaire dans la forme attendue.,repère l’action mais accepte une ligne incomplète ou mal présentée.,choisit selon le sens général sans tenir compte de la forme.,CM1,"Forme de représentation, Complétude de l’instruction"
att-verifier-forme-representation-cm2,Repérer une instruction mal formée et choisir une correction qui conserve la même forme de représentation.,cmp-verifier-forme-representation,No,"localise la ligne mal formée et choisit une correction qui garde l’action, l’ordre et le paramètre.",repère la ligne problématique mais choisit une correction partielle ou imprécise.,change le sens de l’instruction ou convertit dans une autre représentation.,CM2,"Forme de représentation, Complétude de l’instruction"
att-verifier-forme-representation-6e,Repérer tous les problèmes de forme présents dans une courte séquence d’instructions.,cmp-verifier-forme-representation,No,"repère une rupture de forme dans la séquence et choisit une version homogène, avec les lignes de cadre et les paramètres nécessaires.",repère qu’une ligne pose problème mais choisit une correction encore partielle ou mal présentée.,valide une séquence qui mélange plusieurs formes ou qui contient une instruction incomplète.,6eme,"Forme de représentation, Homogénéité de la séquence"
att-convertir-representations-cm1,Choisir la conversion correcte d’une instruction simple entre deux représentations autorisées.,cmp-convertir-representations,No,"choisit la représentation cible qui conserve l’action, l’objet et le paramètre principal.","repère l’action mais confond un objet, un lieu ou un paramètre proche.",choisit une proposition qui change l’action ou l’information principale.,CM1,"Forme source et forme cible, Proximité des distracteurs"
att-convertir-representations-cm2,Compléter une conversion partielle en choisissant l’élément manquant qui conserve le sens de la représentation source.,cmp-convertir-representations,No,"choisit l’élément manquant qui conserve l’action, l’ordre et les paramètres de la représentation source.",choisit une action proche mais oublie un paramètre ou modifie légèrement l’ordre.,complète avec un élément qui ne correspond pas à la représentation source.,CM2,"Forme source et forme cible, Degré de guidage de la conversion"
att-convertir-representations-6e,Compléter un texte qui corrige une conversion erronée d’une séquence avec répétition simple.,cmp-convertir-representations,No,"repère l’écart de conversion et choisit la correction qui conserve le nombre de répétitions, le contenu répété et les actions hors répétition.","repère l’erreur principale mais choisit une correction encore partielle sur le nombre, le contenu répété ou le placement hors répétition.",choisit une correction qui change le comportement de la représentation source.,6eme,"Forme source et forme cible, Degré de guidage de la conversion, Proximité des distracteurs"
att-identifier-formes-algorithme-cm1,"Classer des extraits selon leur forme d’écriture : langage naturel, pseudo-code ou blocs.",cmp-identifier-formes-algorithme,No,classe correctement les extraits dans les trois formes demandées.,classe la plupart des extraits mais hésite sur une forme.,confond les formes d'écriture ou classe selon le sens du texte.,CM1,Forme d'écriture
att-identifier-formes-algorithme-cm2,Reconnaître la forme d’écriture d’un programme et choisir l’indice visible qui la justifie.,cmp-identifier-formes-algorithme,No,nomme la forme et l'indice visible pertinent.,nomme la forme mais l'indice reste vague ou partiellement juste.,choisit la forme au hasard ou donne un indice qui ne correspond pas à l'extrait.,CM2,"Forme d'écriture, Indice visible"
att-identifier-formes-algorithme-6e,Identifier les formes d’écriture présentes dans une page composée de plusieurs extraits.,cmp-identifier-formes-algorithme,No,identifie correctement les formes présentes dans un document composite.,identifie les formes principales mais laisse une confusion locale.,juge le sens ou l'équivalence au lieu d'identifier la forme d'écriture.,6eme,"Forme d'écriture, Document composite"
att-cartographier-chaine-capteur-cm1,"Sur un schéma fourni, identifier/annoter 2–3 éléments et leurs rôles.",cmp-cartographier-chaine-capteur,No,identification + rôle corrects.,éléments repérés mais explication incomplète.,"rôles confondus, flèches incohérentes.",CM1,"Nombre d’éléments à identifier, Schéma (fourni / à compléter / à produire)"
att-cartographier-chaine-capteur-cm2,Compléter un schéma pour faire apparaître 4–5 éléments et les liens.,cmp-cartographier-chaine-capteur,No,schéma correct et compréhensible.,schéma complété mais 1–2 liaisons imprécises.,liens faux (capteur/actionneur inversés) ou éléments manquants majeurs.,CM2,"Nombre d’éléments à identifier, Schéma (fourni / à compléter / à produire)"
att-cartographier-chaine-capteur-6e,Produire un schéma de 5+ éléments + expliquer le flux (capteur → commande → actionneur).,cmp-cartographier-chaine-capteur,No,schéma + explication claire du flux complet.,tous listés mais 1 relation floue/oubliée,schéma non fonctionnel / flux non expliqué.,6eme,"Nombre d’éléments à identifier, Schéma (fourni / à compléter / à produire)"
att-lire-capteur-cm1,Utiliser une donnée de capteur fournie (un seul capteur) dans le programme.,cmp-lire-capteur,No,valeur récupérée et utilisée correctement.,récupère mais l’utilise maladroitement (mauvais endroit).,ne sait pas récupérer/placer la valeur.,CM1,Donnée capteur : fournie ou à sélectionner
att-lire-capteur-cm2,Choisir le bon capteur parmi 2 (guidé) et justifier rapidement.,cmp-lire-capteur,No,bon capteur + justification liée au besoin.,bon capteur avec justification faible.,mauvais capteur choisi malgré guidage.,CM2,Donnée capteur : fournie ou à sélectionner
att-lire-capteur-6e,Choisir parmi plusieurs capteurs et justifier l’adéquation au besoin.,cmp-lire-capteur,No,choix pertinent + justification liée à la mesure attendue.,choix correct mais justification superficielle.,choix non pertinent ou justification hors sujet.,6eme,Donnée capteur : fournie ou à sélectionner
att-configurer-actionneur-cm1,Choisir la commande qui met en marche ou arrête un actionneur simple pour obtenir l’effet demandé.,cmp-configurer-actionneur,No,commande adaptée ; état marche/arrêt conforme à l’effet demandé.,actionneur adapté mais commande ou état choisi avec une aide.,mauvais actionneur ou commande qui ne produit pas l’effet demandé.,CM1,Complexité de la commande de l’actionneur
att-configurer-actionneur-cm2,"Choisir la commande adaptée et régler un paramètre fourni (angle, vitesse, puissance ou volume).",cmp-configurer-actionneur,No,"actionneur, commande et valeur choisis conformément à l’effet demandé.",commande adaptée mais paramètre corrigé avec une aide.,actionneur ou réglage qui ne permet pas d’obtenir l’effet demandé.,CM2,Complexité de la commande de l’actionneur
att-configurer-actionneur-6e,"Choisir et régler une commande comportant plusieurs paramètres, comme le sens et la vitesse, pour obtenir l’effet demandé.",cmp-configurer-actionneur,No,tous les paramètres sont cohérents avec l’effet demandé.,commande adaptée mais un paramètre est corrigé avec une aide.,commande ou combinaison de paramètres incompatible avec l’effet demandé.,6eme,Complexité de la commande de l’actionneur
att-piloter-actionneur-capteur-cm1,Compléter avec les blocs fournis une relation directe entre un capteur et un actionneur.,cmp-piloter-actionneur-capteur,No,la valeur du capteur est placée dans le réglage de l’actionneur.,les bons blocs sont reconnus mais la relation est complétée avec une aide.,la valeur du capteur n’est pas transmise à l’actionneur.,CM1,Éléments de la relation capteur → actionneur fournis ou à sélectionner
att-piloter-actionneur-capteur-cm2,"Parmi plusieurs programmes utilisant le même capteur et le même actionneur, identifier celui où la mesure règle directement l’actionneur et prévoir comment l’action varie lorsque la mesure change.",cmp-piloter-actionneur-capteur,No,"le programme établissant la liaison directe est identifié et l’effet d’une hausse ou d’une baisse de la mesure est correctement prévu.","la liaison directe est repérée avec une aide ou l’évolution de l’action est expliquée de manière incomplète.","le programme retenu conserve un réglage fixe, utilise la mesure ailleurs ou attribue à l’actionneur une variation incohérente.",CM2,Éléments de la relation capteur → actionneur fournis ou à sélectionner
att-piloter-actionneur-capteur-6e,Choisir une relation directe cohérente parmi plusieurs couples capteur-actionneur et expliquer comment la mesure modifie l’action produite.,cmp-piloter-actionneur-capteur,No,relation cohérente et explication correcte de l’effet de la variation mesurée.,relation correcte mais explication partielle ou obtenue avec une aide.,couple incompatible ou explication sans lien avec la variation du capteur.,6eme,Éléments de la relation capteur → actionneur fournis ou à sélectionner
att-programmer-traces-deplacements-cm1,"Écrire/ordonner 3–5 commandes de déplacement, sans boucle, pour atteindre la cible.",cmp-programmer-traces-deplacements,No,"trajectoire conforme, commandes claires.",trajectoire proche mais 1 erreur corrigée avec aide.,trajectoire ne correspond pas ; erreurs d’ordre/direction.,CM1,"Usage de « répéter N fois » attendu, Nombre de commandes de déplacement"
att-programmer-traces-deplacements-cm2,Produire 6–8 commandes ; utiliser une boucle si utile (facultatif).,cmp-programmer-traces-deplacements,No,"atteint la cible ; si boucle utilisée, elle est correcte et utile.",atteint la cible mais code peu propre / duplication non maîtrisée.,trop d’erreurs ; trajectoire non atteinte.,CM2,"Usage de « répéter N fois » attendu, Nombre de commandes de déplacement"
att-programmer-traces-deplacements-6e,Produire 9+ commandes en utilisant au moins une boucle (attendue) pour réduire les duplications.,cmp-programmer-traces-deplacements,No,"boucle(s) bien placée(s), duplications réduites, résultat conforme.",boucle présente mais encore des duplications évitables.,pas d’effort de factorisation OU boucle mal utilisée.,6eme,"Usage de « répéter N fois » attendu, Nombre de commandes de déplacement"
att-programmer-mesures-cm1,Programmer 1 mesure d’1 grandeur et noter le résultat.,cmp-programmer-mesures,No,mesure correcte + valeur notée proprement.,mesure réalisée mais tracée/confusion de valeur.,mesure non réalisée / mal enregistrée.,CM1,"Nombre de mesures à relever, Nombre de grandeurs mesurées"
att-programmer-mesures-cm2,Programmer 3–5 mesures sur 2 grandeurs (et organiser les résultats simplement).,cmp-programmer-mesures,No,"3–5 mesures, 2 grandeurs distinguées, données organisées.",mesures ok mais organisation perfectible.,nombre de mesures insuffisant ou mélange des grandeurs.,CM2,"Nombre de mesures à relever, Nombre de grandeurs mesurées"
att-programmer-mesures-6e,Programmer 8–12 mesures sur 3+ grandeurs et structurer les données pour exploitation.,cmp-programmer-mesures,No,"données structurées (tableau clair), exploitables immédiatement.",données exploitables mais manque de structure (colonnes/unités).,"protocole incomplet, données inutilisables.",6eme,"Nombre de mesures à relever, Nombre de grandeurs mesurées"
att-programmer-simulations-cm1,"Choisir et placer dans une simulation fournie le bloc qui modifie une propriété visible à chaque étape, puis exécuter le programme.",cmp-programmer-simulations,No,"choisit le bloc de mise à jour adapté, le place dans la partie répétée et obtient l’évolution visible attendue.",bloc adapté mais emplacement ou sens de variation corrigé avec aide.,"utilise un réglage fixe ou place le bloc hors de la partie répétée, sans faire évoluer la simulation.",CM1,"Tâche sur la simulation, Données à produire (simulation)"
att-programmer-simulations-cm2,Initialiser une grandeur dans un programme de simulation et compléter sa mise à jour répétée avec des blocs fournis.,cmp-programmer-simulations,No,"initialise correctement la grandeur, programme sa mise à jour dans la répétition et vérifie son évolution par exécution.","initialisation ou mise à jour correcte, mais l’autre élément est corrigé avec aide.",la grandeur n’est pas initialisée ou sa valeur reste fixe pendant l’exécution.,CM2,"Tâche sur la simulation, Données à produire (simulation)"
att-programmer-simulations-6e,"Programmer avec des blocs fournis l’évolution liée de deux grandeurs d’une simulation, puis tester le programme avec plusieurs états initiaux.",cmp-programmer-simulations,No,met à jour les deux grandeurs de manière cohérente à chaque étape et vérifie la relation sur plusieurs états initiaux.,relation programmée globalement correcte mais une mise à jour ou un test nécessite une aide.,les deux grandeurs évoluent indépendamment ou le programme n’est testé que dans une seule situation.,6eme,"Tâche sur la simulation, Données à produire (simulation)"
att-mise-en-forme-resultats-cm1,"Identifier les éléments qui rendent compréhensible un tableau ou un graphique produit par un programme (titre, grandeurs, unités).",cmp-mise-en-forme-resultats,No,repère les éléments nécessaires et choisit des intitulés cohérents avec les données.,repère une partie des éléments mais confond une grandeur ou une unité.,ne distingue pas les informations nécessaires à la lecture du résultat.,CM1,Niveau de mise en forme des résultats
att-mise-en-forme-resultats-cm2,Produire une mise en forme simple (tableau propre / graphique basique).,cmp-mise-en-forme-resultats,No,production propre et complète au niveau attendu.,"produit lisible mais manque un élément (titre, axes, unité…)",tableau/graphique absent ou illisible.,CM2,Niveau de mise en forme des résultats
att-mise-en-forme-resultats-6e,"Produire une mise en forme avancée (choix du type, titrage, légende, axes/unités, export si demandé).",cmp-mise-en-forme-resultats,No,représentation adaptée + éléments complets + justification du choix.,représentation adaptée mais finition incomplète (légende/axes/unités).,choix de représentation inadapté / lecture difficile.,6eme,Niveau de mise en forme des résultats
